codigo,titulo,autor,origen,comision,tema,iniciativa,link
001/16,POR MEDIO DE LA CUAL SE CONVOCA A UN REFERENDO CONSTITUCIONAL Y SE SOMETE A CONSIDERACIÓN DEL PUEBLO UN PROYECTO DE REFORMA CONSTITUCIONAL POR LA CUAL SE CONSAGRA LA ADOPCIÓN DE MENORES SOLO POR PAREJAS CONFORMADAS ENTRE HOMBRE Y MUJER,VIVIANE MORALES HOYOS|CARLOS ALONSO LUCIO LÓPEZ,SENADO DE LA REPUBLICA,PRIMERA,REFERENDO,POPULAR,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/1
002/16,POR EL CUAL SE MODIFICA PARCIALMETE LA LEY GENERAL DE EDUCACIÓN LEY 115 DE 1994 Y SE DICTAN OTRAS DISPOSICIONES,VIVIANE MORALES HOYOS,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/2
003/16,POR MEDIO DEL CUAL SE APOYA LA MODERNIZACIÓN DEL TRANSPORTE,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEXTA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/3
004/16,POR LA CUAL SE ESTABLECEN MEDIDAS DE PROTECCIÓN Y USO DE LAS PLAYAS MARINAS Y TERRENOS DE BAJAMAR Y SE DICTAN OTRAS DISPOSICIONES LEY DE COSTAS,ALVARO ANTONIO ASHTON GIRALDO,SENADO DE LA REPUBLICA,SEGUNDA,ECOLOGICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/4
005/16,POR MEDIO DE LA CUAL SE REGLAMENTA LA SEGURIDAD SOCIAL INTEGRAL PARA LOS CONDUCTORES DE SERVICIO PÚBLICO DE TRANSPORTE AUTOMOTOR EN VEHICULOS TAXI TRANSPORTE TERRESTRE AUTOMOTOR DE CARGA Y TRANSPORTE TERRESTRE AUTOMOTOR MIXTO.,ALVARO ANTONIO ASHTON GIRALDO,SENADO DE LA REPUBLICA,SEPTIMA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/5
006/16,POR MEDIO DE LA CUAL SE STABLECEN CRITERIOS DE EQUIDAD DE GENEROS EN LA ADJUDICACIÓN DE LAS TIERRAS BALDIAS VIVIENDA RURAL PROYECTOS PRODUCTIVOS SE MODIFICA LA LEY 160 DE 1994 Y SE DICTAN OTRAS DISPOSICIONES.,MARITZA MARTINEZ ARISTISABAL|NORA GARCIA BURGOS|DAIRA GALVIS MENDEZ,SENADO DE LA REPUBLICA,QUINTA,VIVIENDA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/6
007/16 acumulado 108 /16 camara,"POR MEDIO DE LA CUAL SE ESTABLECEN NORMAS SOBRE LA INFORMACIÓN NUTRICIONAL EL ETIQUETADO DE LAS BEBIDAS AZUCARADAS Y SE DICTAN OTRAS DISPOSICIONES ""LEY PARA EL CONSUMO INFORMADO DEL AZUCAR""",MARITZA MARTINEZ ARISTISABAL|NORA GARCIA BURGOS|DAIRA GALVIS MENDEZ,SENADO DE LA REPUBLICA,SEPTIMA,ALIMENTOS,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/7
008/16,POR LA CUAL SE EXPIDE EL CÓDIGO ELECTORAL Y SE DICTAN OTRAS DISPOSICIONES.,ARMANDO BENEDETTI,SENADO DE LA REPUBLICA,PRIMERA,CÓDIGO ELECTORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/8
009/16,POR LA CUAL SE DICTAN NORMAS PARA SUPRIMIR Y PROHIBIR LA CONTRATACIÓN LABORAL MEDIANTE COOPERATIVAS DE TRABAJO ASOCIADO Y DEMAS FORMAS DE TERCERIZACIÓN LABORAL,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/9
010/16,POR MEDIO DEL CUAL SE INCREMENTAN LAS PENSIONES DE FORMA ANUAL EN EL MISMO PORCENTAJE EN QUE SE INCREMENTA EL SALARIO MINIMO LEGAL MENSUAL VIGENTE,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,PENSIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/10
011/16,POR MEDIO DEL CUAL SE DEROGAN LAS DISPOSICIONES QUE NO LOGRARON LOS EFECTOS PRACTICOS PARA LA GENERACIÓN DE EMPLEO LEY 789 DE 2002,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,EMPLEO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/11
012/16,POR MEDIO DEL CUAL SE DICTAN NORMAS DE PROTECCIÓN A LA ACTIVIDAD ARTESANAL SOSTENIBLE SU PROMOCIÓN FOMENTO DESARROLLO Y LA SEGURIDAD SOCIAL INTEGRAL DEL ARTESANO Y ARTESANA PRODUCTOR EN COLOMBIA.,ALEXANDER LOPEZ MAYA,SENADO DE LA REPUBLICA,SEPTIMA,ARTESANO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/12
013/16 acumulado 010/16,POR LA CUAL SE ESTABLECE EL REGIMEN ANUAL DE PENSIONES.,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,PENSION,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/13
014/16,POR LA CUAL SE FIJA EL MONTO DE LOS APORTES DE LA NACIÓN PARA ATENDER LA SALUD DEL MAGISTERIO COLOMBIANO.,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/14
015/16,POR LA CUAL SE MODIFICA EL REGIMEN DE SEGURIDAD SOCIAL DE LOS EDUCADORES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/15
017/16,POR LA CUAL SE MODIFICA LA AFILIACION AL FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO Y SE DICTAN OTRAS DISPOSICIONES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SUBSIDIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/17
018/16,POR LA CUAL SE MODIFICA LA COTIZACION EN SALUD DE LOS DOCENTES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/18
019/16,POR MEDIO DEL CUAL SE ESTABLECEN LOS CRITERIOS Y LAS CONDICIONES DE LOS CREDITOS EDUCATIVOS DEL ICETEX Y SE DICTAN OTRAS DISPOSICIONES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/19
020/16,POR EL CUAL SE ESTABLECE EL PAGO DE CESANTIAS DEL FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,SUBSIDIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/20
021/16,POR MEDIO DE LA CUAL SE CREA LA LEY NACIONAL DE FOMENTO A LA LECTURA Y SE DICTAN OTRAS DISPOSICIONES,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/21
022/16,POR MEDIO DE LA CUAL SE INCLUYE LA ECONOMIA DEL OCEANO AZUL EN COLOMBIA,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,TERCERA,ECONOMIA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/22
023/16,POR MEDIO DEL CUAL SE IMPLEMENTA LOS CARROS COMIDA O FOODTRUCKS EN COLOMBIA,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,TERCERA,ALIMENTACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/23
016/16,POR LA CUAL SE RESTABLECE EL DERECHO A SALARIO - PENSION DE LOS EDUCADORES,SENEN NIÑO AVENDAÑO,SENADO DE LA REPUBLICA,SEPTIMA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/16
024/16,POR MEDIO DE LA CUAL SE CREA LA LEY DE DISLEXIA Y DIFICULTADES DE APRENDIZAJE,ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/24
025/16,POR LA CUAL SE DICTAN DISPOSICIONES RELACIONADAS CON LAS COOPERATIVAS ESPECIALIZADAS DE VIGILANCIA Y SEGURIDAD PRIVADA Y SE BUSCA MEJORAR LAS CONDICIONES EN LAS QUE LOS VIGILANTES PRESTAN EL SERVICIO DE VIGILANCIA Y SEGURIDAD PRIVADA  -  LEY DEL VIGILANTE-.,LUIS FERNANDO VELAZCO CHAVEZ|MAURICIO LIZCANO ARANGO|ANDRES GARCIA ZUCCARDI,SENADO DE LA REPUBLICA,SEGUNDA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/25
026/16,POR EL CUAL SE MODIFICA EL ARTICULO 21 Y EL ARTICULO 23 DEL DECRETO 1791 DE 2000,ERNESTO MACIAS TOVAR|PAOLA ANDREA HOLGUIN,SENADO DE LA REPUBLICA,SEGUNDA,ASCENSO POLICIAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/26
027/16,POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS DE PROTECCIÓN PARA LOS PRODUCTORES DEL SECTOR ADROPECUARIO FRENTE A LOS COSTOS DE LOS FERTILIZANTES Y SE DICTAN OTRAS DISPOSICIONES.,ERNESTO MACIAS TOVAR,SENADO DE LA REPUBLICA,QUINTA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/27
028/16,POR MEDIO DEL CUAL SE ESTABLECE UN ALIVIO DE CARTERA PARA PEQUEÑOS Y MEDIANOS PRODUCTORES AGROPECUARIOS SE ADOPTAN TASAS DE INTERES Y SE DETERMINAN GARANTIAS CREDITICIAS.,ERNESTO MACIAS TOVAR,SENADO DE LA REPUBLICA,QUINTA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/28
029/16,POR MEDIO DE LA CUAL SE CREA EL FONDO DE ESTABILIZACIÓN DEL CAFE,ERNESTO MACIAS TOVAR|ARRUBEN DARIO MOLANO,SENADO DE LA REPUBLICA,TERCERA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/29
030/16,POR MEDIO DE LA CUAL SE REGLAMENTAN LAS COALICIONES DE PARTIDOS Y MOVIMIENTOS POLITICOS A CORPORACIONES PUBLICAS.,Claudia Lopez Hernandez|Jimmy Chamorro Cruz|Jorge Prieto Riveros|Ivan Cepeda Castro|ANGELICA LOZANO CORREA|Inti Asprilla|Angelica Robledo|Oscar Ospina|ALIRIO URIBE MUÑOZ|Ana Cristina Paz,SENADO DE LA REPUBLICA,PRIMERA,MOVIMIENTOS POLITICOS,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/30
031/16,POR MEDIO DE LA CUAL SE REGULAN DE LOS PRINCIPIOS DE PARIDAD ALTERNANCIA Y UNIVERSALIDAD CONTEMPLADOS EN LA CONSTITUCIÓN POLÍTICA PARA LA CONSECUCIÓN EFECTIVA DE LA IGUALDAD REAL DE LAS MUJERES EN LA REPRESENTACIÓN POLÍTICA Y EN CARGOS DIRECTIVOS EN LAS RAMAS Y ÓRGANOS DEL PODER PÚBLICO Y SE DICTAN OTRAS DISPOSICIONES.,CLAUDIA LOPEZ HERNANDEZ,SENADO DE LA REPUBLICA,PRIMERA,IGUALDAD DE GENERO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/31
032/16,POR MEDIO DEL CUAL SE ADICIONA EL ARTICULO 8 DE LA LEY 80 DE 1993 EN MATERIA DE INHABILIDADES E INCOMPATIBILIDADES PARA CONTRATAR.,CARLOS FELIPE MEJIA,SENADO DE LA REPUBLICA,PRIMERA,LABORAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/32
033/16,POR MEDIO DEL CUAL SE FOMENTA Y PROMUEVE LA REFORESTACIÓN DE CUENCAS HIDROGRAFICAS EN EL TERRITORIO NACIONAL,CARLOS FELIPE MEJIA,SENADO DE LA REPUBLICA,QUINTA,AMBIENTAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/33
034/16,"POR LA CUAL SE MODIFICA PARCIALMENTE LA LEY 1527 DE 2012 ""POR MEDIO DE LA CUAL SE ESTABLECE UN MARCO GENERAL PARA LA LIBRANZA O DESCUENTO DIRECTO Y SE DICTAN OTRAS DISPOSICIONES. """,EDISON DELGADO RUIZ,SENADO DE LA REPUBLICA,TERCERA,ECONOMICO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/34
035/16,POR MEDIO DEL CUAL SE MODIFICA EL NOMBRE AL CENTRO DERMATOLOGICO FEDERICO LLERAS ACOSTA E.S.E Y SE DICTAN OTRAS DISPOSICIONES.,EDINSSON DELGADO RUIZ,SENADO DE LA REPUBLICA,PRIMERA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/35
036/16,POR MEDIO DE LA CUAL SE DECLARA PATRIMONIO CULTURAL ARTISTICO Y FOLCLORICO DE LA NACIÓN EL ENCUENTRO DE MÚSICA COLOMBIANA Y ANDINA DE EL QUEREMAL CELEBRADO EN EL MUNICIPIO DE DAGUA VALLE DEL CAUCA.,JAVIER MAURICIO DELGADO MARTINEZ|ALVARO LOPEZ GIL,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/36
037/16,POR MEDIO DEL CUAL SE CREA EL SERVICIO SOCIAL OBLIGATORIO PARA INGENIEROS CIVILESY AMBIENTALES EN MUNICIPIOS CON POBLACIÓN MENOR A 50.000 HABITANTES,MAURICIO DELGADO MARTINEZ|ALVARO LOPEZ GIL,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/37
038/16,POR MEDIO DE LA CUAL SE DICTAN ALGUNAS DISPOCIONES RELACIONADAS CON EL SERVICIO SOCIAL OBLIGATORIO EN SALUD Y SE DICTAN OTRAS DISPOSICIONES.,MAURICIO DELGADO MARTINEZ|ALVARO LOPEZ GIL,SENADO DE LA REPUBLICA,SEPTIMA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/38
039/16,POR MEDIO DE LA CUAL SE REGLAMENTA LA ESPECIALIDAD MÉDICA DE LA NEFRELOGÍA Y SE DICTAN OTRAS DISPOSICIONES.,MAURICIO DELGADO MARTINEZ|ALVARO LOPEZ GIL,SENADO DE LA REPUBLICA,SEPTIMA,MEDICINA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/39
040/16,POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 218 DE LA LEY 1753 DE 2015 Y SE DICTAN OTRAS DISPOSICIONES.,JAVIER MAURICIO DELGADO MARTINEZ|ALVARO LOPEZ GIL,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/40
041/16,POR MEDIO DE LA CUAL SE INCLUYE DENTRO DEL PLAN OBLIGATORIO DE SALUD POS LA ENTREGA E IMPLEMENTACIÓN DE PRÓTESIS OCULARES Y ELEMENTOS PROTÉSICOS ANEXOS.,MAURICIO DELGADO MARTINEZ|ALVARO LÓPEZ GIL,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/41
042/16,POR MEDIO DE LA CUAL SE REGLAMENTA LA PROFESIÓN DE INGENIERA AGROPECUARIA Y SE DICTAN OTRAS DISPOSICIONES.,JUAN DIEGO GOMEZ,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/42
043/16,POR MEDIO DE LA CUAL SE INCENTIVA LA SOSTENIBILIDAD AMBIENTAL Y EL USE PRODUCTIVO DE LA GUADUA EN LA RECUPERACIÓN DE LA IDENTIDAD Y VALORES DEL PAISAJE CULTURAL CAFETERO COLOMBIANO.,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,QUINTA,AMBIENTAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/43
044/16,POR LA CUAL SE MODIFICA EL ARTICULO 6 DE LA LEY 388 DE 1997 Y SE PRIORIZAN LOS ESPACIOS PUBLICOS EN ARMONIA CON LAS NECESIDADES DE NIÑOS Y ADOLECENTES Y LAS DEMAS PERSONAS CON PROTECCION ESPECIAL DEL ESTADO.,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,TERCERA,ESPACIOS PUBLICOS,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/44
045/16,POR MEDIO DE LA CUAL LA NACIÓN SE UNE A LA CELEBRACIÓN DE LOS 50 AÑOS DE FUNDACIÓN DEL DEPARTAMENTO DE SUCRE Y RINDE HOMENAJE A LOS SUCREÑOS.,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/45
046/16,POR MEDIO DEL CUAL SE MODIFICA PARCIALMENTE LA LEY 105 DE 1993 EN RELACIÓN CON LOS PEAJES DE LA INFRAESTRUCTURA DE TRANSPORTE-MODO CARRETERO A CARGO DE LA NACIÓN SUS ESPECIFICACIONES EN TÉRMINOS DE CALIDAD Y SE DICTAN OTRAS DISPOSICIONES.,MARIA DEL ROSARIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,SEXTA,TRANSPORTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/46
047/16,POR MEDIO DE LA CUAL SE DECLARA PATRIMONIO GENETICO NACIONAL LAS RAZAS BOVINAS CRIOLLAS Y COLOMBIANAS PURAS SE ADICIONA UN PARAGRAFO A LA LEY 89 DE 1993 Y SE DICTAN OTRAS DISPOSICIONES,ANTONIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,QUINTA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/47
048/16,POR LA CUAL SE INSTITUCIONALIZA EL DIA NACIONAL DE LA TOLERANCIA LA SOLIDARIDAD Y LA CONVIVENCIA,ANTONIO GUERRA DE LA ESPRIELLA,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/48
049/16,"POR MEDIO DE LA CUAL SE APRUEBA EL ""PROTOCOLO AL TRATADO ANTARTICO SOBRE PROTECCIÓN DEL MEDIO AMBIENTE SU APENDICE Y SUS ANEXOS I II III Y IV"" HECHO EN MADRID EL 04 DE OCTUBRE DE 1991 SU ""ANEXO V"" ADOPTADO EN BONN EL 17 DE OCTUBRE DE 1991 Y SU ""ANEXO VI"" ADOPTADO EN ESTOCOLMO EL 17 DE JUNIO DE 2005",MARIA ANGELA HOLGUIN|LUIS GILBERTO MURILLO URRUTIA|LUIS CARLOS VILLEGAS E|MIN DE MINAS Y ENERGIA DR: GERMAN ARCE ZAPATA,SENADO DE LA REPUBLICA,SEGUNDA,TRATADO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/49
050/16,"POR MEDIO DE LA CUAL SE APRUEBA EL ""ACUERDO PARA EL ESTABLECIEMIENTO DE FONDO DE COOPERACIÓN DE LA ALIANZA DEL PACIFICO"" SUSCRITO EN CALI REPUBLICA DE COLOMBIA EL 22 DE MAYO DE 2013",MARIA ANGELA HOLGUIN|MARIA CLAUDIA LACOUTURE PINEDO,SENADO DE LA REPUBLICA,SEGUNDA,ACUERDO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/50
051/16,POR MEDIO DEL CUAL SE MODIFICAN  LOS ARTÍCULOS 4 Y  38  DE LA LEY 982 DE 2005 Y EL NUMERAL 4 DEL ARTÍCULO 11 DE LA LEY 1618 DE 2013  EN ARAS DE GARANTÍZAR DE LOS PRINCIPIOS DE EFECTIVIDAD Y LA ADAPTABILIDAD  DE LA COMUNIDAD  SORDO-CIEGA  EN LOS PROGRAMAS DE  EDUCACIÓN SUPERIOR EN EL PAÍS Y SE DICTAN OTRAS DISPOSICIONES.,OLGA LUCÍA SUÁREZ MIRA,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/51
052/16,POR LA CUAL LA NACIÓN SE VINCULA A LA CELEBRACIÓN DE LOS CINCUENTA Y CINCO (55) AÑOS DE EXISTENCIA DE LA UNIVERSIDAD DEL MAGDALENA Y SE DICTAN OTRAS DISPOSICIONES.,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/52
053/16,POR MEDIO DE LA CUAL SE MODIFICA EL ARTÍCULO 52 DEL DECRETO 2591 DE 1991 ESTABLECIENDO TÉRMINO LEGAL PARA RESOLVER INCIDENTE DE DESACATO,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,PRIMERA,JUDICIAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/53
054/16,POR MEDIO DE LA CUAL SE ESTABLECEN MEDIDAS PARA LA ADAPTACIÓN Y MITIGACIÓN DEL CAMBIO CLIMÁTICO Y SE ESTABLECEN OTRAS DISPOSICIONES.,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,QUINTA,MEDIO AMBIENTE,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/54
055/16,POR LA CUAL SE ESTABLECE LA GRATUIDAD EN LA EDUCACIÓN SUPERIOR PÚBLICA Y SE DICTAN OTRAS DISPOSICIONES,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,SEXTA,EDUCACIÓN,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/55
056/16,POR MEDIO DE LA CUAL SE REGLAMENTA LA INSEMINACIÓN ARTIFICIAL LA PROCREACIÓN CON ASISTENCIA CIENTÍFICA Y SE DICTAN OTRAS DISPOSICIONES,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,PRIMERA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/56
057/16,“POR MEDIO DE LA CUAL SE PROTEGE EL CUIDADO  DE LA NIÑEZ”<br />  - LEY ISAAC -,LUIS FERNANDO DUQUE GARCIA,SENADO DE LA REPUBLICA,SEPTIMA,PRIMERA INFANCIA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/57
058/16,POR LA CUAL SE PROHIBE LA PRODUCCIÓN COMERCIALIZACIÓN EXPORTACIÓN Y MATERIALES PRIMAS QUE PUEDAN SER NOCIVAS A LA SALUD INDIVIDUAL Y COLECTIVA.,ALVARO URIBE VELEZ|ORLANDO CASTAÑEDA|PALOMA VAENCIA|EDISON DELGADO|FERNANDO ARAUJO|MARIA DEL ROSARIO GUERRA|DANIEL CABRALES|ANTONIO JOSE CORREA JIMENEZ|HONORIO ENRIQUE PINEDO,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/58
