codigo,titulo,autor,origen,comision,tema,iniciativa,link
216/17,POR MEDIO DEL CUAL SE ESTABLECE POR UNA SOLA VEZ LA REBAJA EN UNA QUINTA PARTE DE LA PENA PRIVATIVA DE LA LIBERTAD IMPUESTA EN LA REPÚBLICA DE COLOMBIA POR DELITOS COMETIDOS ANTES DEL 16 DE MARZO DE 2017,ENRIQUE GIL BOTERO,SENADO DE LA REPUBLICA,PRIMERA,PENAL,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/221
217/17,POR MEDIO DE LA CUAL SE AUTORIZA LA CREACIÓN DE ALIVIOS CON PROGRAMAS ESPECIALES Y FINANCIEROS PARA LOS PRODUCTORES DEL SECTOR AGROPECUARIO DE LOS MUNICIPIOS AFECTADOS POR LA OLA INVERNAL.,RODRIGO VILLALBA MOSQUERA,SENADO DE LA REPUBLICA,QUINTA,AGROPECUARIO,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/222
218/17,POR LA CUAL SE EXPIDE LA LEY DE JUBILEO Y SE CONCEDE REBAJA DE PENAS POR ÚNICA VEZ.,JUAN MANUEL CORZO ROMAN,SENADO DE LA REPUBLICA,PRIMERA,PENAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/223
219/17,POR MEDIO DEL CUAL SE DECLARA COMO PATRIMONIO CULTURAL Y DEPORTIVO DE LA NACIÓN AL ESTADIO EDUARDO SANTOS  “SEMILLERO DEL FÚTBOL COLOMBIANO” UBICADO EN EL DISTRITO TURÍSTICO CULTURAL E HISTÓRICO DE SANTA MARTA Y SE DICTAN OTRAS DISPOSICIONES,JAIME ENRIQUE SERRANO PEREZ,SENADO DE LA REPUBLICA,SEGUNDA,HONORES,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/224
220/17,POR MEDIO DE LA CUAL SE REGLAMENTA LA ESPECIALIDAD MÉDICA DE LA DERMATOLOGÍA Y SE DICTAN OTRAS DISPOSICIONES,EDINSON DELGADO RUIZ,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/225
221/17,POR MEDIO DEL CUAL SE MODIFICAN LOS ARTÍCULOS 365 Y 366 DE LA LEY 599 DE 2.000 CÓDIGO PENAL COLOMBIANO,EDUARDO ENRIQUE PULGAR DAZA,SENADO DE LA REPUBLICA,PRIMERA,PENAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/226
222/17,POR LA CUAL SE CONCEDE UNA REBAJA DE PENAS,MARÍA DEL ROSARIO GUERRA DE LA ESPRIELLA|HONORIO MIGUEL HENRÍQUEZ PINEDO|EDWARD D RODRIGUEZ RODRIGUEZ,SENADO DE LA REPUBLICA,PRIMERA,PENAL,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/227
223/17,"POR LA CUAL SE EFECTUAN UNAS MODIFICACIONES AL PRESUPUESTO GENERAL DE LA NACION PARA LA VIGENCIA FISCAL DE 2017. ""MENSAJE DE URGENCIA""",MAURICIO CARDENAS SANTAMARIA,CÁMARA DE REPRESENTANTES,TERCERA,ECONOMICO,GUBERNAMENTAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/228
224/17,POR MEDIO DE LA CUAL SE PROTEGE EL DERECHO DE LA SALUD DEL MENOR.,RODRIGO VILLALBA MOSQUERA|FLORA PERDOMO ANDRADE,SENADO DE LA REPUBLICA,SEPTIMA,SALUD,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/230
225/17,POR MEDIO DE LA CUAL SE MODIFICAN ALGUNOS ARTÍCULOS DE LA LEY 1098 DE 2006 POR LA CUAL SE EXPIDE EL CÓDIGO DE LA INFANCIA Y LA ADOLESCENCIA Y SE DICTAN OTRAS DISPOSICIONES.,GERMÁN VARON COTRINO,SENADO DE LA REPUBLICA,PRIMERA,INFANCIA,CONGRESIONAL,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/periodo-legislativo-2014-2018/2016-2017/article/231
